Legislation Number,URL,Title,Sponsor,Date of Introduction,Committees,Latest Action,Number of Cosponsors
H.R. 8460,https://www.congress.gov/bill/118th-congress/house-bill/8460,To strengthen the Court Improvement Program to advance technology and modernizing the judicial child welfare system.,"Moore, Blake D. [Rep.-R-UT-1]",5/17/2024,"House - Ways and Means, Education and the Workforce","Referred to the Committee on Ways and Means, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2
H.R. 8459,https://www.congress.gov/bill/118th-congress/house-bill/8459,"To amend the Justice for Victims of Trafficking Act of 2015 to require abortion providers to notify the National Human Trafficking Hotline of victims of trafficking, and for other purposes.","Moore, Barry [Rep.-R-AL-2]",5/17/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,13
H.R. 8458,https://www.congress.gov/bill/118th-congress/house-bill/8458,To amend title XVIII of the Social Security Act to expand access to psychological and behavioral services.,"Malliotakis, Nicole [Rep.-R-NY-11]",5/17/2024,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3
H.R. 8457,https://www.congress.gov/bill/118th-congress/house-bill/8457,To prevent the distribution of intimate visual depictions without consent.,"Luna, Anna Paulina [Rep.-R-FL-13]",5/17/2024,"House - Energy and Commerce, Judiciary","Referred to the Committee on Energy and Commerce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
H.R. 8456,https://www.congress.gov/bill/118th-congress/house-bill/8456,"To require the Administrator of the Federal Emergency Management Agency and the Secretary of Housing and Urban Development to implement certain recommendations made by the Comptroller General with respect to disaster recovery, and for other purposes.","Jacobs, Sara [Rep.-D-CA-51]",5/17/2024,"House - Transportation and Infrastructure, Financial Services","Referred to the Committee on Transportation and Infrastructure, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
H.R. 8455,https://www.congress.gov/bill/118th-congress/house-bill/8455,"To direct the Secretaries of the military departments concerned to conduct a feasibility study develop a plan to carry out a program to construct facilities of covered military housing and to submit to the Committees on Armed Services of the House of Representatives and the Senate a report on such study, and for other purposes.","Jacobs, Sara [Rep.-D-CA-51]",5/17/2024,House - Armed Services,Referred to the House Committee on Armed Services.,1
H.R. 8454,https://www.congress.gov/bill/118th-congress/house-bill/8454,"To amend title 10, United States Code, to add to matters covered by counseling in the Transition Assistance Program.","Jacobs, Sara [Rep.-D-CA-51]",5/17/2024,House - Armed Services,Referred to the House Committee on Armed Services.,0
H.R. 8453,https://www.congress.gov/bill/118th-congress/house-bill/8453,"To require the Secretary of Agriculture to publish a report on the fertilizer industry, and for other purposes.","Hinson, Ashley [Rep.-R-IA-2]",5/17/2024,House - Agriculture,Referred to the House Committee on Agriculture.,2
H.R. 8452,https://www.congress.gov/bill/118th-congress/house-bill/8452,"To direct the Secretary of State to develop a strategy to obtain membership status for Taiwan in the International Criminal Police Organization, and for other purposes.","Gooden, Lance [Rep.-R-TX-5]",5/17/2024,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,7
H.R. 8451,https://www.congress.gov/bill/118th-congress/house-bill/8451,"To establish a grant program for certain institutions of higher education to plan and implement projects for economic and community development in economically distressed communities, and for other purposes.","Costa, Jim [Rep.-D-CA-21]",5/17/2024,"House - Transportation and Infrastructure, Financial Services","Referred to the Committee on Transportation and Infrastructure, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
