bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1651134,2641347,text,228802,application/pdf,Introduced,https://legiscan.com/US/text/HB81/id/2641347,https://www.congress.gov/118/bills/hr81/BILLS-118hr81ih.pdf
1650988,2641346,text,230821,application/pdf,Introduced,https://legiscan.com/US/text/HB82/id/2641346,https://www.congress.gov/118/bills/hr82/BILLS-118hr82ih.pdf
1651219,2641395,text,209060,application/pdf,Introduced,https://legiscan.com/US/text/HB83/id/2641395,https://www.congress.gov/118/bills/hr83/BILLS-118hr83ih.pdf
1651024,2641360,text,229562,application/pdf,Introduced,https://legiscan.com/US/text/HB84/id/2641360,https://www.congress.gov/118/bills/hr84/BILLS-118hr84ih.pdf
1650737,2641356,text,229395,application/pdf,Introduced,https://legiscan.com/US/text/HB85/id/2641356,https://www.congress.gov/118/bills/hr85/BILLS-118hr85ih.pdf
1651014,2708535,text,232678,application/pdf,Introduced,https://legiscan.com/US/text/HB86/id/2708535,https://www.congress.gov/118/bills/hr86/BILLS-118hr86ih.pdf
1650691,2641354,text,230844,application/pdf,Introduced,https://legiscan.com/US/text/HB87/id/2641354,https://www.congress.gov/118/bills/hr87/BILLS-118hr87ih.pdf
1650509,2641379,text,238031,application/pdf,Introduced,https://legiscan.com/US/text/HB88/id/2641379,https://www.congress.gov/118/bills/hr88/BILLS-118hr88ih.pdf
1650956,2641388,text,229363,application/pdf,Introduced,https://legiscan.com/US/text/HB89/id/2641388,https://www.congress.gov/118/bills/hr89/BILLS-118hr89ih.pdf
1650588,2641375,text,229332,application/pdf,Introduced,https://legiscan.com/US/text/HB90/id/2641375,https://www.congress.gov/118/bills/hr90/BILLS-118hr90ih.pdf
1651062,2795221,text,231432,application/pdf,Introduced,https://legiscan.com/US/text/HB91/id/2795221,https://www.congress.gov/118/bills/hr91/BILLS-118hr91ih.pdf
1650530,2641380,text,229190,application/pdf,Introduced,https://legiscan.com/US/text/HB92/id/2641380,https://www.congress.gov/118/bills/hr92/BILLS-118hr92ih.pdf
1650562,2765250,text,229162,application/pdf,Introduced,https://legiscan.com/US/text/HB93/id/2765250,https://www.congress.gov/118/bills/hr93/BILLS-118hr93ih.pdf
1650485,2641365,text,230556,application/pdf,Introduced,https://legiscan.com/US/text/HB94/id/2641365,https://www.congress.gov/118/bills/hr94/BILLS-118hr94ih.pdf
1650717,2641363,text,228688,application/pdf,Introduced,https://legiscan.com/US/text/HB95/id/2641363,https://www.congress.gov/118/bills/hr95/BILLS-118hr95ih.pdf
1650929,2641378,text,228939,application/pdf,Introduced,https://legiscan.com/US/text/HB96/id/2641378,https://www.congress.gov/118/bills/hr96/BILLS-118hr96ih.pdf
1650812,2641351,text,233629,application/pdf,Introduced,https://legiscan.com/US/text/HB97/id/2641351,https://www.congress.gov/118/bills/hr97/BILLS-118hr97ih.pdf
1651010,2641384,text,233735,application/pdf,Introduced,https://legiscan.com/US/text/HB98/id/2641384,https://www.congress.gov/118/bills/hr98/BILLS-118hr98ih.pdf
1650712,2641369,text,235117,application/pdf,Introduced,https://legiscan.com/US/text/HB99/id/2641369,https://www.congress.gov/118/bills/hr99/BILLS-118hr99ih.pdf
1650501,2641350,text,229200,application/pdf,Introduced,https://legiscan.com/US/text/HB100/id/2641350,https://www.congress.gov/118/bills/hr100/BILLS-118hr100ih.pdf
1650710,2641359,text,229561,application/pdf,Introduced,https://legiscan.com/US/text/HB101/id/2641359,https://www.congress.gov/118/bills/hr101/BILLS-118hr101ih.pdf
1651100,2641368,text,230737,application/pdf,Introduced,https://legiscan.com/US/text/HB102/id/2641368,https://www.congress.gov/118/bills/hr102/BILLS-118hr102ih.pdf
1650903,2641383,text,229217,application/pdf,Introduced,https://legiscan.com/US/text/HB103/id/2641383,https://www.congress.gov/118/bills/hr103/BILLS-118hr103ih.pdf
1650900,2641361,text,232714,application/pdf,Introduced,https://legiscan.com/US/text/HB104/id/2641361,https://www.congress.gov/118/bills/hr104/BILLS-118hr104ih.pdf
1651016,2641352,text,229556,application/pdf,Introduced,https://legiscan.com/US/text/HB105/id/2641352,https://www.congress.gov/118/bills/hr105/BILLS-118hr105ih.pdf
1650543,2641386,text,229317,application/pdf,Introduced,https://legiscan.com/US/text/HB106/id/2641386,https://www.congress.gov/118/bills/hr106/BILLS-118hr106ih.pdf
1650570,2641387,text,234468,application/pdf,Introduced,https://legiscan.com/US/text/HB107/id/2641387,https://www.congress.gov/118/bills/hr107/BILLS-118hr107ih.pdf
1650965,2641373,text,234669,application/pdf,Introduced,https://legiscan.com/US/text/HB108/id/2641373,https://www.congress.gov/118/bills/hr108/BILLS-118hr108ih.pdf
1651176,2641348,text,230670,application/pdf,Introduced,https://legiscan.com/US/text/HB109/id/2641348,https://www.congress.gov/118/bills/hr109/BILLS-118hr109ih.pdf
1650559,2641358,text,228907,application/pdf,Introduced,https://legiscan.com/US/text/HB110/id/2641358,https://www.congress.gov/118/bills/hr110/BILLS-118hr110ih.pdf
1651194,2795333,text,236705,application/pdf,Introduced,https://legiscan.com/US/text/HB111/id/2795333,https://www.congress.gov/118/bills/hr111/BILLS-118hr111ih.pdf
1651167,2641377,text,229513,application/pdf,Introduced,https://legiscan.com/US/text/HB112/id/2641377,https://www.congress.gov/118/bills/hr112/BILLS-118hr112ih.pdf
1651084,2641362,text,230894,application/pdf,Introduced,https://legiscan.com/US/text/HB113/id/2641362,https://www.congress.gov/118/bills/hr113/BILLS-118hr113ih.pdf
1650733,2641385,text,248719,application/pdf,Introduced,https://legiscan.com/US/text/HB114/id/2641385,https://www.congress.gov/118/bills/hr114/BILLS-118hr114ih.pdf
1650858,2641381,text,236505,application/pdf,Introduced,https://legiscan.com/US/text/HB115/id/2641381,https://www.congress.gov/118/bills/hr115/BILLS-118hr115ih.pdf
1650487,2641376,text,233014,application/pdf,Introduced,https://legiscan.com/US/text/HB116/id/2641376,https://www.congress.gov/118/bills/hr116/BILLS-118hr116ih.pdf
1650582,2641349,text,229509,application/pdf,Introduced,https://legiscan.com/US/text/HB117/id/2641349,https://www.congress.gov/118/bills/hr117/BILLS-118hr117ih.pdf
1651105,2641370,text,229416,application/pdf,Introduced,https://legiscan.com/US/text/HB118/id/2641370,https://www.congress.gov/118/bills/hr118/BILLS-118hr118ih.pdf
1650820,2795207,text,230443,application/pdf,Introduced,https://legiscan.com/US/text/HB119/id/2795207,https://www.congress.gov/118/bills/hr119/BILLS-118hr119ih.pdf
